period,report_period,ticker,CURRENT ASSETS,Cash and cash equivalents,Cash,Cash equivalents,Short-term investments,_Short-term investments,__Short-term investments,___Short-term investments,Accounts receivable,Trade accounts receivable,Prepayments to suppliers,Intercompany receivables,Construction contract in progress receivables,Other receivables,"Inventories, Net",Inventories,Other current assets,_Other current assets,Short-term prepayments,VAT to be claimed,Other taxes receivable,__Other current assets,___Other current assets,LONG-TERM ASSETS,Long-term trade receivables,Long-term trade receivables from customers,Long-term intercompany receivables,Other long-term receivables,Fixed assets,Tangible fixed assets,Cost,_Cost,__Cost,___Cost,Accumulated depreciation,_Accumulated depreciation,__Accumulated depreciation,___Accumulated depreciation,Finance lease assets,____Cost,_____Cost,______Cost,_______Cost,____Accumulated depreciation,_____Accumulated depreciation,______Accumulated depreciation,_______Accumulated depreciation,Intangible fixed assets,________Cost,_________Cost,__________Cost,___________Cost,________Accumulated depreciation,_________Accumulated depreciation,__________Accumulated depreciation,___________Accumulated depreciation,Construction in progress (before 2015),Investment properties,____________Cost,_____________Cost,______________Cost,_______________Cost,____________Accumulated depreciation,_____________Accumulated depreciation,______________Accumulated depreciation,_______________Accumulated depreciation,Long-term investments,Investments in associates,Other long-term investments,Goodwill (before 2015),Other long-term assets,_Other long-term assets,Long-term prepayments,Deferred income tax assets,__Other long-term assets,___Other long-term assets,Total Assets,Liabilities,Current liabilities,Short-term borrowings,Trade accounts payable,Advances from customers,Taxes and other payable to State Budget,Payable to employees,Accrued expenses,Intercompany payables,Construction contract in progress payables,Other payables,Bonus and welfare funds,Long-term liabilities,Long-term trade payables,Long-term intercompany payables,Other long-term payables,Long-term borrowings,Deferred income tax liabilities,Deferred revenue,Technology-science development fund,Owner's Equity,Capital and reserves,Paid-in capital,Share premium,Owner's other capital,Treasury shares,Differences upon asset revaluation,Foreign exchange differences,Investment and development funds,Financial reserve funds,Other funds,Undistributed earnings,Enterprise arrangement fund,Budget sources and other funds,_Budget sources and other funds,Bonus and welfare funds (Before 2010),__Budget sources and other funds,___Budget sources and other funds,Minority interests (Before 2015),Total resource,Preferred shares,_Preferred shares,Held-to-maturity investment,_Held-to-maturity investment,Shortage of current assets waiting for solution,Short-term loans receivables,Government bonds purchased for resale,_Government bonds purchased for resale,Long-term prepayments to suppliers,Long-term loans receivables,Long-term incomplete assets,Long-term cost of work in progress,__Held-to-maturity investment,___Held-to-maturity investment,"Long-term equipment, material and spare parts",Short-term unrealized revenue,Price stabilization fund,__Government bonds purchased for resale,___Government bonds purchased for resale,Long-term advances from customers,Long-term accrued expenses,Intra-company payables for operating capital received,Convertible bonds,__Preferred shares,___Preferred shares,Common shares,Conversion options on convertible bonds,Beginning accumulated undistributed earnings,Current period undistributed earnings,Construction in progress,Goodwill,Minority interests
2018,year,PNJ,5405256600641.0,206721179629.0,206721179629.0,0.0,0.0,0.0,0.0,0.0,155196257825.0,57664060443.0,57981679202.0,0.0,0.0,39159008338.0,4968145942990.0,4968145942990.0,75193220197.0,0.0,66191416708.0,625511019.0,8376292470.0,75193220197.0,0.0,1032638955963.0,57498444869.0,0.0,0.0,57498444869.0,719287274744.0,225960569846.0,454178423940.0,0.0,499937407873.0,0.0,-228217854094.0,0.0,-6610702975.0,0.0,0.0,454178423940.0,0.0,499937407873.0,0.0,-228217854094.0,0.0,-6610702975.0,0.0,493326704898.0,454178423940.0,0.0,499937407873.0,0.0,-228217854094.0,0.0,-6610702975.0,0.0,0.0,0.0,454178423940.0,0.0,499937407873.0,0.0,-228217854094.0,0.0,-6610702975.0,0.0,0.0,0.0,395271613400.0,0.0,185030555196.0,0.0,99678730358.0,85351824838.0,185030555196.0,0.0,6437895556604.0,2692822128700.0,2677317785700.0,1558482498026.0,342676925196.0,82798544221.0,153579308096.0,228337052181.0,10833940595.0,0.0,0.0,237629562960.0,62979954425.0,15504343000.0,0.0,0.0,628026000.0,7800000000.0,0.0,0.0,0.0,3745073427904.0,3745073427904.0,1670029820000.0,925397862458.0,0.0,-7090000.0,0.0,0.0,265087556918.0,0.0,0.0,884565278528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6437895556604.0,,0.0,0.0,0.0,391509842.0,0.0,0.0,0.0,0.0,0.0,70822681154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1670029820000.0,0.0,98780546381.0,785784732147.0,70822681154.0,0.0,0.0
2019,year,PNJ,7333364485251.0,95224439008.0,95224439008.0,0.0,0.0,0.0,0.0,0.0,129688313476.0,48292876716.0,74867455343.0,0.0,0.0,5287941028.0,7030420371216.0,7030420371216.0,78031361551.0,0.0,71633378895.0,6306692920.0,91289736.0,78031361551.0,0.0,1269599936565.0,70721623109.0,0.0,0.0,70721623109.0,923870354474.0,263827234353.0,534818699342.0,0.0,679619883005.0,0.0,-270991464989.0,0.0,-19576762884.0,0.0,0.0,534818699342.0,0.0,679619883005.0,0.0,-270991464989.0,0.0,-19576762884.0,0.0,660043120121.0,534818699342.0,0.0,679619883005.0,0.0,-270991464989.0,0.0,-19576762884.0,0.0,0.0,0.0,534818699342.0,0.0,679619883005.0,0.0,-270991464989.0,0.0,-19576762884.0,0.0,0.0,0.0,395271613400.0,0.0,246550560548.0,0.0,158318980481.0,88231580067.0,246550560548.0,0.0,8602964421816.0,4025698610469.0,4017860824469.0,2610902622222.0,690808185195.0,95353052369.0,192682671178.0,222296091737.0,45877630688.0,0.0,0.0,69257739996.0,90682831084.0,7837786000.0,0.0,0.0,476006000.0,3700000000.0,0.0,0.0,0.0,4577265811347.0,4577265811347.0,2252935850000.0,968074112458.0,0.0,-2101090000.0,0.0,0.0,313083556918.0,0.0,0.0,1045273381971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8602964421816.0,,0.0,0.0,0.0,1240040389.0,0.0,0.0,0.0,0.0,0.0,28457398434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2252935850000.0,0.0,29482225528.0,1015791156443.0,28457398434.0,0.0,0.0
2020,year,PNJ,7143929036497.0,422234781061.0,422234781061.0,0.0,0.0,0.0,0.0,0.0,98997286429.0,67591685619.0,20218946599.0,0.0,0.0,12261206010.0,6545905987056.0,6545905987056.0,76790981951.0,0.0,66112866470.0,10670276957.0,7838524.0,76790981951.0,0.0,1339217061954.0,77310617360.0,0.0,0.0,77310617360.0,931617117533.0,281244232172.0,600464186725.0,0.0,683791142309.0,0.0,-319219954553.0,0.0,-33418256948.0,0.0,0.0,600464186725.0,0.0,683791142309.0,0.0,-319219954553.0,0.0,-33418256948.0,0.0,650372885361.0,600464186725.0,0.0,683791142309.0,0.0,-319219954553.0,0.0,-33418256948.0,0.0,0.0,0.0,600464186725.0,0.0,683791142309.0,0.0,-319219954553.0,0.0,-33418256948.0,0.0,0.0,0.0,395271613400.0,0.0,297285460058.0,0.0,206301766031.0,90983694027.0,297285460058.0,0.0,8483146098451.0,3241284233443.0,3231907356443.0,1839275064065.0,481588464720.0,157182968364.0,214710310923.0,290765645610.0,55520256916.0,0.0,0.0,76978636900.0,115886008945.0,9376877000.0,0.0,0.0,526168000.0,0.0,0.0,0.0,0.0,5241861865008.0,5241861865008.0,2276123620000.0,991261882458.0,0.0,-3384090000.0,0.0,0.0,372779556918.0,0.0,0.0,1605080895632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8483146098451.0,,0.0,0.0,0.0,128327047.0,0.0,0.0,0.0,0.0,0.0,33003867003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2276123620000.0,0.0,670845205971.0,934235689661.0,33003867003.0,0.0,0.0
2021,year,PNJ,9292192238421.0,355454838957.0,355454838957.0,0.0,0.0,0.0,0.0,0.0,111969758488.0,59930655833.0,30659175548.0,0.0,0.0,22831538994.0,8754741712359.0,8754741712359.0,70025928617.0,0.0,56716921380.0,8705831517.0,4603175720.0,70025928617.0,0.0,1326824308701.0,84131506164.0,0.0,0.0,84131506164.0,909985491983.0,259137188160.0,633614629426.0,0.0,697774918988.0,0.0,-374477441266.0,0.0,-46926615165.0,0.0,0.0,633614629426.0,0.0,697774918988.0,0.0,-374477441266.0,0.0,-46926615165.0,0.0,650848303823.0,633614629426.0,0.0,697774918988.0,0.0,-374477441266.0,0.0,-46926615165.0,0.0,0.0,0.0,633614629426.0,0.0,697774918988.0,0.0,-374477441266.0,0.0,-46926615165.0,0.0,0.0,0.0,395271613400.0,0.0,301911940704.0,0.0,201443147089.0,100468793615.0,301911940704.0,0.0,10619016547122.0,4606382566869.0,4563002409508.0,2721930701144.0,680447298103.0,156729112135.0,309500571902.0,385144216152.0,69534599697.0,0.0,0.0,83404423727.0,126182180160.0,43380157361.0,0.0,0.0,518668000.0,0.0,0.0,0.0,0.0,6012633980253.0,6012633980253.0,2276123620000.0,991261882458.0,0.0,-4908890000.0,0.0,0.0,800503556918.0,0.0,0.0,1949653810877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10619016547122.0,,0.0,0.0,0.0,553186190.0,0.0,0.0,0.0,0.0,0.0,30795369850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2276123620000.0,0.0,920611645232.0,1029042165645.0,30795369850.0,0.0,0.0
2022,year,PNJ,11966357761798.0,879548130711.0,879548130711.0,0.0,200000000000.0,0.0,200000000000.0,0.0,300880402245.0,56532707659.0,68902837213.0,0.0,0.0,37641170145.0,10506054932284.0,10508065026916.0,79874296558.0,0.0,74007356286.0,5866940272.0,0.0,79874296558.0,0.0,1370766887448.0,93956493011.0,0.0,0.0,93956493011.0,882432821075.0,239734551747.0,672781337441.0,0.0,707010800099.0,0.0,-433046785694.0,0.0,-64312530771.0,0.0,0.0,672781337441.0,0.0,707010800099.0,0.0,-433046785694.0,0.0,-64312530771.0,0.0,642698269328.0,672781337441.0,0.0,707010800099.0,0.0,-433046785694.0,0.0,-64312530771.0,0.0,0.0,0.0,672781337441.0,0.0,707010800099.0,0.0,-433046785694.0,0.0,-64312530771.0,0.0,0.0,0.0,395271613400.0,0.0,363550944173.0,0.0,243656590750.0,119894353423.0,363550944173.0,0.0,13337124649246.0,4893029994396.0,4883064421396.0,2683045875772.0,277212839495.0,222164283405.0,292985361927.0,534807250396.0,453432735944.0,0.0,0.0,227169093119.0,162117674850.0,9965573000.0,0.0,0.0,218668000.0,0.0,0.0,0.0,0.0,8444094654850.0,8444094654850.0,2461716200000.0,2251376032458.0,0.0,-3384090000.0,0.0,0.0,1212120556918.0,0.0,0.0,2522265955474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13337124649246.0,,0.0,200000000000.0,0.0,666596536.0,140000000000.0,0.0,0.0,0.0,0.0,30826629189.0,0.0,200000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2461716200000.0,0.0,859175348677.0,1663090606797.0,30826629189.0,0.0,0.0
2023,year,PNJ,12958118192260.0,896147917336.0,896147917336.0,0.0,810100000000.0,0.0,810100000000.0,0.0,215035937840.0,69277567110.0,27775617785.0,0.0,0.0,32980198226.0,10940937959289.0,10944749006797.0,95896377795.0,0.0,94051248427.0,1845129368.0,0.0,95896377795.0,0.0,1469439823096.0,104636239106.0,0.0,0.0,104636239106.0,882715109732.0,256373758673.0,747570855214.0,0.0,708071904553.0,0.0,-491197096541.0,0.0,-81730553494.0,0.0,0.0,747570855214.0,0.0,708071904553.0,0.0,-491197096541.0,0.0,-81730553494.0,0.0,626341351059.0,747570855214.0,0.0,708071904553.0,0.0,-491197096541.0,0.0,-81730553494.0,0.0,0.0,0.0,747570855214.0,0.0,708071904553.0,0.0,-491197096541.0,0.0,-81730553494.0,0.0,3980000000.0,0.0,399251613400.0,0.0,449008425848.0,0.0,329182091504.0,119826334344.0,449008425848.0,0.0,14427558015356.0,4621377351380.0,4611956609380.0,2384288254693.0,257304950807.0,215299493413.0,344258054659.0,673116492808.0,307718428978.0,0.0,0.0,228798913738.0,172110827750.0,9420742000.0,0.0,0.0,218668000.0,0.0,0.0,0.0,0.0,9806180663976.0,9806180663976.0,3281691880000.0,1851376032458.0,0.0,-3384090000.0,0.0,0.0,1936397556918.0,0.0,0.0,2740099284600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14427558015356.0,,0.0,810100000000.0,0.0,52235556.0,90000000000.0,0.0,0.0,0.0,0.0,29100048410.0,0.0,810100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3281691880000.0,0.0,769000107465.0,1971099177135.0,29100048410.0,0.0,0.0
2024,year,PNJ,15692597267632.0,1122712392130.0,1022712392130.0,100000000000.0,1020170000000.0,0.0,1020170000000.0,0.0,401134922152.0,70851635761.0,253102611434.0,0.0,0.0,64867442121.0,13015170477311.0,13074586927914.0,133409476039.0,0.0,132726608716.0,682867323.0,0.0,133409476039.0,0.0,1515133510053.0,115599492454.0,0.0,0.0,115599492454.0,857118818527.0,248430247930.0,796271142120.0,0.0,708142194553.0,0.0,-547840894190.0,0.0,-99453623956.0,0.0,0.0,796271142120.0,0.0,708142194553.0,0.0,-547840894190.0,0.0,-99453623956.0,0.0,608688570597.0,796271142120.0,0.0,708142194553.0,0.0,-547840894190.0,0.0,-99453623956.0,0.0,0.0,0.0,796271142120.0,0.0,708142194553.0,0.0,-547840894190.0,0.0,-99453623956.0,0.0,3980000000.0,0.0,399251613400.0,0.0,473732557913.0,0.0,276525499295.0,197207058618.0,473732557913.0,0.0,17207730777685.0,5952424147163.0,5941881733413.0,3341542016760.0,624291098148.0,188182044409.0,448697283312.0,596322426230.0,360040211420.0,0.0,0.0,106241642105.0,250017302726.0,10542413750.0,0.0,0.0,178668000.0,0.0,0.0,0.0,0.0,11255306630522.0,11255306630522.0,3380747760000.0,1950309912458.0,0.0,-3384090000.0,0.0,0.0,2626281556918.0,0.0,0.0,3301351491146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17207730777685.0,,0.0,1020170000000.0,0.0,831677115.0,40000000000.0,0.0,0.0,0.0,0.0,64702641159.0,0.0,1020170000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3380747760000.0,0.0,1188435208200.0,2112916282946.0,64702641159.0,0.0,0.0
2025,year,PNJ,18614031193890.0,522025257031.0,438425257031.0,83600000000.0,2007488137408.0,97918137408.0,2007488137408.0,97918137408.0,153980309545.0,48760415990.0,38085152243.0,0.0,0.0,90681158676.0,15835334529837.0,15881309718303.0,95202960069.0,0.0,94862372660.0,234579085.0,106008324.0,95202960069.0,0.0,1549599053151.0,121168536356.0,0.0,0.0,121168536356.0,855770473476.0,236245161003.0,845032678156.0,0.0,734945157553.0,0.0,-608787517153.0,0.0,-115419845080.0,0.0,0.0,845032678156.0,0.0,734945157553.0,0.0,-608787517153.0,0.0,-115419845080.0,0.0,619525312473.0,845032678156.0,0.0,734945157553.0,0.0,-608787517153.0,0.0,-115419845080.0,0.0,0.0,0.0,845032678156.0,0.0,734945157553.0,0.0,-608787517153.0,0.0,-115419845080.0,0.0,5930000000.0,0.0,401201613400.0,0.0,472022383285.0,0.0,144500376660.0,327522006625.0,472022383285.0,0.0,20163630247041.0,6888716787629.0,6874318773629.0,4223385635653.0,333861329514.0,182492529057.0,777717691575.0,569308694234.0,321827090456.0,0.0,0.0,103175435252.0,335975695659.0,14398014000.0,0.0,0.0,1715384000.0,0.0,0.0,0.0,0.0,13274913459412.0,13274913459412.0,3413186660000.0,1982694812458.0,0.0,-3384090000.0,0.0,0.0,3471447556918.0,0.0,0.0,4410968520036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20163630247041.0,,0.0,1909570000000.0,0.0,372199982.0,8000000000.0,0.0,0.0,0.0,0.0,94707660034.0,0.0,1909570000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3413186660000.0,0.0,1582471057146.0,2828497462890.0,94707660034.0,0.0,0.0
2018-Q1,quarter,PNJ,3872677138687.0,81899944010.0,81899944010.0,0.0,65000000.0,0.0,65000000.0,0.0,108604897949.0,52858316685.0,44366799350.0,0.0,0.0,11323958943.0,3607975543026.0,3607975543026.0,74131753702.0,0.0,63568914271.0,140428998.0,10422410433.0,74131753702.0,0.0,815719289943.0,46243189214.0,0.0,0.0,46243189214.0,668852820114.0,208184182822.0,408320249245.0,0.0,466255407873.0,0.0,-200136066423.0,0.0,-5586770581.0,0.0,0.0,408320249245.0,0.0,466255407873.0,0.0,-200136066423.0,0.0,-5586770581.0,0.0,460668637292.0,408320249245.0,0.0,466255407873.0,0.0,-200136066423.0,0.0,-5586770581.0,0.0,0.0,0.0,408320249245.0,0.0,466255407873.0,0.0,-200136066423.0,0.0,-5586770581.0,0.0,0.0,0.0,395271613400.0,0.0,66037970399.0,0.0,63598950975.0,2439019424.0,66037970399.0,0.0,4688396428630.0,1489492690119.0,1403604033119.0,700313899131.0,275576128719.0,44632906145.0,129889730744.0,70449350137.0,91121991970.0,0.0,0.0,52039611743.0,38211978166.0,85888657000.0,0.0,0.0,628026000.0,78184314000.0,0.0,0.0,0.0,3198903738511.0,3198903738511.0,1081020340000.0,876761282458.0,0.0,-7090000.0,0.0,0.0,220087556918.0,0.0,0.0,1021041649135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4688396428630.0,,0.0,65000000.0,0.0,55822971.0,0.0,0.0,0.0,0.0,0.0,34585310216.0,0.0,65000000.0,0.0,0.0,1368436364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1081020340000.0,0.0,684781388701.0,336260260434.0,34585310216.0,0.0,0.0
2018-Q2,quarter,PNJ,4233070851415.0,96738062787.0,96738062787.0,0.0,65000000.0,0.0,65000000.0,0.0,125498489397.0,43292478993.0,50739682013.0,0.0,0.0,30841097634.0,3936094231986.0,3936094231986.0,74675067245.0,0.0,73812319458.0,17710481.0,845037306.0,74675067245.0,0.0,940610834341.0,49007477674.0,0.0,0.0,49007477674.0,683360736408.0,223173751581.0,430114267619.0,0.0,466255407873.0,0.0,-206940516038.0,0.0,-6068423046.0,0.0,0.0,430114267619.0,0.0,466255407873.0,0.0,-206940516038.0,0.0,-6068423046.0,0.0,460186984827.0,430114267619.0,0.0,466255407873.0,0.0,-206940516038.0,0.0,-6068423046.0,0.0,0.0,0.0,430114267619.0,0.0,466255407873.0,0.0,-206940516038.0,0.0,-6068423046.0,0.0,0.0,0.0,395271613400.0,0.0,151729541293.0,0.0,70236199189.0,81493342104.0,151729541293.0,0.0,5173681685756.0,1806969622460.0,1747623490460.0,985614342214.0,301009754820.0,44737781196.0,126316564473.0,98379415302.0,72012176675.0,0.0,0.0,46534240079.0,73019215701.0,59346132000.0,0.0,0.0,628026000.0,51641789000.0,0.0,0.0,0.0,3366712063296.0,3366712063296.0,1621393240000.0,876761282458.0,0.0,-7090000.0,0.0,0.0,265087556918.0,0.0,0.0,603477073920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5173681685756.0,,0.0,65000000.0,0.0,625230757.0,0.0,0.0,0.0,0.0,0.0,56513078966.0,0.0,65000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1621393240000.0,0.0,86780546381.0,516696527539.0,56513078966.0,0.0,0.0
2018-Q3,quarter,PNJ,4491049840793.0,117587302131.0,117587302131.0,0.0,0.0,0.0,0.0,0.0,171250035910.0,68342873558.0,55978181269.0,0.0,0.0,46706677475.0,4124177973673.0,4124177973673.0,78034529079.0,0.0,74771861813.0,225278740.0,3037388526.0,78034529079.0,0.0,990183116721.0,51390752399.0,0.0,0.0,51390752399.0,684360427987.0,224935778959.0,442861017336.0,0.0,466255407873.0,0.0,-217925238377.0,0.0,-6830758845.0,0.0,0.0,442861017336.0,0.0,466255407873.0,0.0,-217925238377.0,0.0,-6830758845.0,0.0,459424649028.0,442861017336.0,0.0,466255407873.0,0.0,-217925238377.0,0.0,-6830758845.0,0.0,0.0,0.0,442861017336.0,0.0,466255407873.0,0.0,-217925238377.0,0.0,-6830758845.0,0.0,0.0,0.0,395271613400.0,0.0,167087146345.0,0.0,85593804241.0,81493342104.0,167087146345.0,0.0,5481232957514.0,2098971628269.0,2072792761269.0,1286629994818.0,238769179301.0,66178193807.0,126713476707.0,125329930398.0,68827146590.0,0.0,0.0,89731940091.0,70612899557.0,26178867000.0,0.0,0.0,628026000.0,18474524000.0,0.0,0.0,0.0,3382261329245.0,3382261329245.0,1621393240000.0,876761282458.0,0.0,-7090000.0,0.0,0.0,265087556918.0,0.0,0.0,619026339869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5481232957514.0,,0.0,0.0,0.0,222303608.0,0.0,0.0,0.0,0.0,0.0,87344789990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1621393240000.0,0.0,86780546381.0,532245793488.0,87344789990.0,0.0,0.0
